请把以下所有内容整理成美观的表格形式：
测定类别	临床意义	
甲型肝炎抗原测定(HAVAg)	"异常结果：HAVAg存在于病人感染后10-20d的粪便中，一般在发病前1-15d从粪便中排出，临床上不易捕捉到。发病1周时阳性率42.9%,1-2周时为18.3%,半个月后消失。 因此，临床上较少用。如果HAVAg阳性，表示病人正在感染甲肝，为急性期早期。
需要检测的人群：发热，恶心，呕吐，肝功能异常，乏力。"	
乙型肝炎DNA测定	"HBV-DNA定量检测指标降低在乙肝治疗中有着非常重要的
意义，是乙肝转阴的前奏，也是康复最为关键的一步"	
乙型肝炎表面抗原测定(HBsAg)	可以表示过去感染过乙肝病毒，或者在受到乙肝病毒的感染	
乙型肝炎表面抗体测定(Anti-HBs)	"1.抗-HBs阳性证明以往有过乙型肝炎病毒感染的历史，机体
产生了一定的免疫力。
2.注射乙型肝炎疫苗或打过抗-HBs免疫球蛋白，抗-HBs可呈
阳性反应。
3.抗-HBs是保护性抗体,血中抗体滴度在1:64或P/N>10以上时才对机体有保护作用和中和作用。"	
乙型肝炎e抗原测定(HBeAg)	"1. HBeAg增高说明患有乙型肝炎具有较强的传染性，它的出
现往往是乙型肝炎的早期或者是活动期。
2.如HBeAg阳性持续时间大于10周以上或更长时间，病人可能进展为慢性持续性感染，肝组织常有较严重的损害，急性乙型肝炎容易演变成慢性肝炎或肝硬化。
3. HBeAg阳性孕妇有垂直传染性，9%以上的新生儿将受乙
型肝炎病毒感染，HBeAg也为阳性。
4. HBeAg通过感染母亲的胎盘，诱导T细胞对感染的免疫耐受性，是乙肝病毒逃避人体免疫系统对其的清除，使得乙肝病毒持续感染。"	
乙型肝炎e抗体测定(Anti-HBe)	"(1)慢性乙型肝炎HBeAb阳性占48.3%,肝硬化为
68.3%,肝癌为80%。
(2) HBeAb阳性率增高，表明多数患者乙型肝炎病毒感染
的时间可长达7-27年。"	
	"(3) HBeAb阳性仍会有一定的传染性。在HBeAb阳性的孕
妇分娩婴儿中可有20%感染乙型肝炎病毒。"	
		
乙型肝炎核心抗原测定(HBcAg)	"HBcAg存在于含量高的血浆和肝组织中，主要存在于Dane
颗粒中，血中测不出。"	
乙型肝炎核心抗体测定(Anti-HBc)	"(1)乙肝核心抗体IgM增高可诊断急性乙型肝炎。
(2) 单纯核心抗体IgG增高常表示有既往感染。
(3) HBcAb的出现表明肝内乙肝病毒复制活跃，肝细胞受
损较重，并且传染性较强。"	
	(4) HBcAb对乙型肝炎无保护作用，其持续阳性可长达数十年甚至保持终身。	
乙型肝炎核心IgM抗体测定(Anti-HBcIgM)	是乙型肝炎急性感染的早期标志	
乙型肝炎病毒外膜蛋白S1前抗原测定	由于前S1抗原的出现在HBV感染的最早期，因而可以起到早期诊断的作用。	
乙型肝炎病毒外膜蛋白S2前抗原测定	阳性：乙型肝炎急性期阳性率高，滴度升高；恢复期滴度逐渐下降。	
丙型肝炎RNA测定	抗-HCV是非中和抗体，是HCV感染的标志，抗-HCV的存在一般表示有传染性。	
丙型肝炎抗体测定(Anti-HCV)	"1)在输血后患肝炎有80-90%的病人是丙型肝炎，其中大
部分为阳性。
(2)在乙型肝炎患者中，特别是经常使用血制品(血浆、全血)的病人可以引起丙肝病毒的合并感染，使疾病转为慢性化、肝硬化或者肝癌，所以对乙型肝炎的复发病人或是慢性肝炎病人要进行HCV-Ab的检测。"	
丁型肝炎抗体测定(Anti-HDV)	HDV的实验室检测可用核酸杂交和PCR方法检测其RNA，也可用ELISA法和RIA法检测HDVAg、抗-HDV IgM、抗-HDV总抗体。	
丁型肝炎抗原测定(HDVAg)	丁型肝炎病毒抗原，存在受感染的肝组织细胞内，外周血的完整病毒内，患者外周血中HDAG阳性表明体内有丁肝病毒复制，血中有丁型肝炎病毒。	
戊型肝炎抗体测定(Anti-HEV)	辅助诊断戊型肝炎	
庚型肝炎IgG抗体测定(Anti-HGVIgG)	辅助诊断庚肝。	
人免疫缺陷病毒抗体测定(Anti-HIV)	血清过筛试验(酶联免疫吸附测定法、明胶颗粒凝集试验)测定阳性，必须做确诊实验(蛋白印迹试验)，若确诊试验也呈阳性，可诊断为人类免疫缺陷病毒感染。	
弓形体抗体测定	"异常结果： (1)弓形虫的IgG和IgM抗体均为阳性，或者是IgG抗体滴度≥1:512,表明有弓形虫近期感染。 (2)弓形虫的IgG和IgM抗体均为阴性，表明没有受过弓形虫感染。(3) 弓形虫的IgG抗体滴度<1:512, IgM抗体为阴性,说明有过既往感染史。 (4)此外，如果弓形虫IgG抗体滴度在双份血清中有4倍以上升高，那么无沦IgM抗体是否为阳性，都是弓形虫近期感染的指标。
需要检查的人群：患有高热、肌肉关节痛、淋巴结肿大等症状的人、孕妇，新生婴儿若患有中枢神经系统症状及眼、内脏先天损害等症状。"	
风疹病毒抗体测定	辅助诊断风疹病毒引起的感染	
巨细胞病毒抗体测定	"巨细胞病毒感染的早期诊断、常可引起肺炎及肾移植病人的
感染"	
单纯疱疹病毒抗体测定	生殖器疱疹	
EB病毒抗体测定	鼻咽癌的辅助诊断	
呼吸道合胞病毒抗体测定	"辅助诊断呼吸道合胞病毒感染
异常结果： 阳性(或效价≥1：160)：病毒性流行性感冒。需要检查人群： 流感症状患者，经常暴露在公众场所的人士。
辅助诊断水痘-带状疱疹病毒引起的感染"	
副流感病毒抗体测定		
水痘一带状疱疹病毒抗体测定		
腺病毒抗体测定	辅助诊断肺炎	
人轮状病毒抗原测定	人轮状病毒抗原	
流行性出血热病毒抗体测定	"异常结果： ≥8有临床诊断价值，双份血清效价增长4倍更
有意义。
流行性出血热是一组由虫媒病毒引起的自然疫源性疾病，本病于30年代初在我国东北首先发现，以后在我国许多地方均有流行。1942年命名为流行性出血热，1982年世界卫生组织(WHO)将有肾脏损害的流行性出血热称之为肾病综合征出血热。 1978年李镐汪等首先分离到出血热病毒，1981年又分离到流行性出血热病毒。近年来，免疫学检测方法取得了较大的进展。
(1)、流行性出血热患者自病程第1-2日IgM抗体开始出现。第3-14日阳性检出率最高，其阳性滴度3-6日达高峰， 10-14日逐渐下降，故IgM抗体可作为早期诊断的一项指标。
(2)、流行性出血热患者的IgG抗体，可自病程第2-3日开始检出，7-14日达高峰，最高滴度可持续2-3周，以后逐渐下降，但阳性可持续多年，虽然IgG抗体出现稍迟，但亦为特异性诊断手段，总的阳性率可达94.7%-100%，其抗体滴度与病性呈正相关，由于IgG抗体可以长期存在，故检测结果阳性时，不可忽视临床症状与既往史，应进行综合分析。
需要检查人群：疑似流行性出血热的人。"	
狂犬病毒抗体测定	"狂犬病毒
1.中和试验具有很强的特异性，是检测病毒和新分离病毒毒株鉴定最经典的方法，也可用于检测病毒感染动物血清中的抗体。
2.血凝抑制试验敏感、简单、费用低，而且操作简便。同时，也可用于检测动物血清中的血凝抑制抗体。补体结合试验可以用于检测动物血清中的病毒抗体。
3.补体结合试验利用抗原抗体复合物同补体结合，把含有已知浓度的补体反应液中的补体消耗掉使浓度减低的现象，以检出抗原或抗体，是高敏度检出方法之一，特别是根据抗原物质的特性，抗原抗体反应不能用沉淀反应或凝集反应观察时也可以利用此法。
4.除传统的ELISA检测抗原和抗体外，荧光标记的病毒抗体可用于检测感染细胞或组织中的病毒蛋白。免疫染色技术已广泛用于细胞中病毒蛋白的亚细胞定位，监测病毒蛋白的合成过程，分析变异对病毒蛋白合成的影响，研究病毒在动物宿"	
病毒血清学试验		
嗜异性凝集试验	"主中的复制部位。
异常结果：传染性单核细胞增多症是由EB病毒感染所致，患者发病早期血清中出现一种IgM型抗体，能非特异性地凝集绵羊红细胞，称为“嗜异性抗体”，这种抗体在发病5天后就可呈阳性反应，3—4周内达高峰，在恢复期迅速下降。如一次检查呈阳性反应，且追踪检查凝集价上升4倍以上者有诊断价值。但本试验为非特异性反应，应结合临床才可确诊。
需要检查的人群：传染性单核细胞增多症，阳性率为80%-
90%，因此此患者要做此试验以做病情的发展和医疗的依据"	
冷凝集试验	肺炎支原体感染引起的原发性非典型性肺炎患者的血清中常含有较高的冷凝集素，凝集价达1：32或更高，可有辅助诊断价值。本试验无特异性，流行性感冒、传染性单核细胞增多症、锥虫病、肝硬化等也可呈阳性反应，但滴度均较低。对冷凝集试验的结果必须结合患者的临床症状进行综合分析	
肥达氏反应	本试验对伤寒副伤寒有辅助诊断意义。	
外斐氏反应	"人体被立克次体感染后，血清中逐渐产生相应抗体，该抗体在发病后5~12天出现，至数月后基本消失，一般凝集价在1：160以上或病程中效价明显上升有诊断意义。
我国常见的立克次体病主要为斑疹伤寒和恙虫病，流行性斑疹伤寒主要为OX19凝集价升高，恙虫病主要表现为OXK升高明显。
流行性斑疹伤寒(OX19阳性率100%)；地方性斑疹伤寒(OX19部分可在1:200~1:800);慈虫病患者(患病后第一周Oxk有14%在1:80以上,第4周可达80%);布氏杆菌病回归热病人；孕妇稍有增高。"	
斑疹伤寒抗体测定	流行性斑疹伤寒和地方性斑疹伤寒。	
布氏杆菌凝集试验	本项目用于布氏菌病的诊断。	
细菌抗体测定	细菌抗体测定是用来辅助诊断细菌感染性疾病的方法	
抗链球菌溶血素O测定(ASO)	溶血性链球菌感染指标，如风湿热、急性肾小球肾炎、扁挑体炎	
耶尔森氏菌血清学试验	小肠结肠炎耶尔森氏菌、假结核菌和鼠疫菌。	
组织胞浆菌血清学试验	可以在奥、口和胃肠道形成故疡，常引起肝脾肿大，用两性霉素B治疗。	
肺炎支原体血清学试验	用于支原体引起的呼吸道感染的诊断	
沙眼衣原体肺炎血清学试验	非淋菌性尿道炎、不孕症、宫颈炎	
肺炎衣原体肺炎血清学试验	辅助诊断肺炎农原体引起的感染	
梅毒螺旋体特异抗体测定	诊断梅毒	
快速血浆反应素试验(RPR)	非梅毒螺旋体抗原血清试验，梅毒常用检查方法之一。	
不加热血清反应素试验	梅毒实验室常用检查方法之一。	
钩端螺旋体病血清学试验	钩端螺旋体病血清凝集溶解试验是血清凝集溶解试验对钩端螺旋体病的一种血清学检查，测定属特异性抗体。	
念珠菌病血清学试验	念珠菌病	
曲霉菌血清学试验	曲霉病	
球孢子菌血清学试验	"1.发病以青壮年和野外工作者居多，男性多于女性。2.原发性皮损多在感染1周~3周时发生下疳样损害，以后形成结节，沿淋巴管分布，似孢子丝菌病，有淋巴管炎和淋巴结肿大，多数可自愈。
3.继发性皮损好发于鼻、颊和头皮等处，表现为多发性无痛
性结节，中央部破溃，间或呈疣状增生。
4.黏膜及全身各脏器均可受累，但一般不累及肌肉， 消化道
、肺，重者可致死。
5.直菌镜检可见圆形厚壁孢子，称球体，其中可充满内孢子，真菌培养为双相菌。
6.球孢子菌素皮肤试验阳性，血清学试验阳性。
7.白细胞计数升高，尤其是中性粒细胞数目增加，嗜酸性细
胞数明显增多 ，血沉持续加快。"	
猪囊尾蚴抗原和抗体测定	"襄虫病是人和猪共患的一种寄生虫病。人体被猪囊虫感染后，可在血清或脑脊液中产生大量抗体，使本试验呈阳性反应。
1.间接血凝试验(IHA) ：检测猪囊虫抗体阳性率达73%-
95.6%，可用于囊虫病的辅助诊断。
2.酶联免疫吸附试验(ELISA) ：检测血清标本阳性率为66.7%~100%,检测脑脊液标本阳性率为76%~84%。与棘球蚴病、肺吸虫病和肝片吸虫病有轻度交叉反应。3.胶乳凝集试验(LAT) ：检测抗体阳性率约80%，脑脊液的检出率高于血清。
4.皮内试验(IDT ) :阳性率达89.6%~100%,与其他吸虫
病有较高的交叉反应，主要用于囊虫病患者的筛查。
5.间接荧光抗体试验(IFAT ) ：阳性率及假阳性率因应用抗原不同而不同,阳性率80%~100%,假阳性率0~5%。血清抗体检出率比脑脊液高，混合型及脑型比皮肌型检出率高，与棘球蚴患者有轻度交叉反应。该法可用于囊虫病的辅助诊断、疗效评价以及监测疫情。"	
肺吸虫抗原和抗体测定	本试验可协助诊断肺吸虫病，并用于流行病学调查。通过此项检查可以判断相应的病征。	
各类病原体DNA测定	各类病原体DNA测定可辅助感染性疾病诊断	
人乳头瘤病毒(HPV)核酸检测	检测13种高危型人乳头瘤病毒(HPV16,18,31,33,35,39, 45 , 51, 52, 56,58 ,59和68型) ,发现宫颈癌的高危人群。	
埃可病毒抗体检测	对埃可病毒感染的检查包括病毒培养以及血清学免疫检测。	
严重急性呼吸综合征冠状病毒抗体测定	引起人类严重急性呼吸综合征(SARS)的病原体。	
单纯疱疹病毒抗原测定	生殖器疱疹	
丙型肝炎病毒(HCV)基因分型	由于HCV基因组在结构和表型特征上与人黄病毒和瘟病毒相类似，将其归为買疬毒科HCV。	
	通过对HBV分型来指导临床用药	
乙型肝炎病毒(HBV)基因分型		
庚型肝炎病毒核糖核酸定性(HGV-RNA)	辅助诊断庚肝。	
鹦鹉热衣原体检测	"1、任何衣原体IgG≥1:16但s1:512,且IgM抗体阴性提示衣原体继往感染。
2、衣原体IgG抗体滴度≥1:512阳性和/或IgM抗体≥1:32阳性，提示衣原体近期感染；急性期和恢复期双份血清IgG抗
体滴度4倍及以上升高也提示衣原体近期感染。
3、衣原体IgG抗体阴性，但IgM抗体阳性，RF乳胶吸附试验后IgM抗体仍为阳性结果，考虑窗口期的存在。7周后复查衣原体IgG和IgM抗体，如果IgG仍然为阴性，不论IgM结果如何，均可判断无继往感染，也无近期感染。"	
肺炎衣原体抗体检测	辅助诊断肺炎衣原体引起的感染	
幽门螺杆菌快速检测	"辅助诊断十二指肠、胃溃疡
异常结果：测定服药前后呼气样本中12C/13C比值(δ值)，若呼气后δ值减去呼气前δ值之差>4，则为Hp阳性，则感染幽门螺杆菌。 需要检查人群：幽门螺杆菌感染，消化道溃疡患者。"	
13碳尿素呼气试验		
幽门螺杆菌粪便抗原检查	辅助诊断十二指肠、胃溃疡	
粪便空肠弯曲菌抗原测定	本菌有内毒素能侵袭小肠和大肠黏膜引起急性肠炎，亦可引起腹泻的暴发流行或集体食物中毒[2]。空肠弯曲菌对红霉素、新霉素、庆大霉素、四环素、氯霉素、卡那霉素等抗生素敏感[2]。近年发现了不少耐药菌株，及多重耐药性菌株。	
丙型肝炎抗原测定	由于HCV基因组在结构和表型特征上与人黄病毒和癌病毒相类似，将其归为黄病毒科HCV。	
乙型肝炎病毒脱氧核糖核酸扩增定量检测	系统性红斑狼疮、结缔组织病等自身免疫性疾病的辅助诊断	
结核分枝杆菌耐药基因检测	"异常结果： 阳性：见于各种结核病。需要检测的人群：
发热，盗汗，咳嗽，咳痰，胸痛咯血的人群。
1377112价法"	
艾滋病联合试验(HIVcombin)	AIDS初筛	
胸腹水常规检查	异常结果：：(1)、血浆渗透压降低，如肝硬化、肾病综合征、重度营养不良性贫血； (2)、血管内压力增高，如慢性心功能不全； (3)、淋巴管梗阻，如丝虫病肿瘤压迫等。渗出液是	
	炎性积液，常见于细菌感染。 需要检查的人群：存在胸腹水的人群。	
胸腹水特殊检查	异常结果：胸腔积液，心血管病、肝脏病、腹膜病、肾脏病、营养障碍病恶性肿瘤腺膜转移卵巢肿瘤、结缔组织疾病等。需要检查的人群：有胸腹水的人群。	
脑脊液常规检查(CSF)	当蛛网膜下腔出血时，脑脊液可呈粉红色(新鲜出血)或黄色(陈旧出血)；黄色脑脊液还可见于重症黄疸。乳白色混浊的脑脊液可见于化脓性脑膜炎和结核性脑膜炎。	
精液常规检查	是泌尿外科、男科、生殖科简便普及的化验室检查方法之一。也是妇科经常参考使用的重要参数之一。	
精液酸性磷酸酶测定	异常结果：精子酸性磷酸酶增高，可导致前列腺炎。各种因素引起的炎症会使精子酸性磷酸酶降低。 需要检查的人群：患有前列腺炎和各种炎症的患者，或者不育患者。	
精液果糖测定	当先天性精翼缺如、输精管或精翼发育不良所致的无精症及逆行射精，精液中检测不到果糖。	
精液α-葡萄糖苷酶测定	辅助诊断附睾疾病	
精子运动轨迹分析	异常结果：精子运动速度异常提示精子异常。 需要检查的人群：男性不育患者。	
精子顶体完整率检查	异常结果：精精子顶体完整率<75%，提示男性不育。 需要检查的人群：男性不育患者。	
精子受精能力测定	异常结果：在妇女体内存活过短导致不孕。具体的情况是有不同的，要根据具体的情况来判定，实际情况也是有所不同的。 需要检查人群：不孕不育的夫妇的男方等。	
精子结合抗体测定	对不育的临床治疗和预后的判断提供了有价值的指标	
精子畸形率测定	精子畸形率	
前列腺液常规检查	前列腺功能及有无癌变	
阴道分泌物检查	"1.通过阴道分泌物检查可以判断阴道有无炎症，还可以进一步诊断炎症的原因。当清洁度达到Ⅲ或Ⅳ度时，多数情况下可诊断为阴道炎症，如细菌性阴道炎、滴虫性阴道炎、霉菌性阴道炎等，对炎症的治疗提供直接的依据。单纯清洁度增高多见于非特异性阴道炎。
2.在检查中如发现有阴道滴虫时，可诊断为滴虫性阴道炎或滴虫感染。当发现有阴道霉菌时可作为霉菌性阴道炎的诊断依据。
3.阴道分泌物真菌检查阳性多见于真菌阴道炎，诊断以找到真菌为依据。阴道真菌多为白色念珠菌，它平时可寄生在阴道内，当阴道内糖原增多、酸度上升时，可迅速繁殖，常见于：糠尿病患者、孕妇、大量使用广谱抗生素或肾上腺皮质激素造成阴道菌群紊乱者。"	
羊水结晶检查	诊断胎膜已破	
痰液常规检查	痰液一般性状检查有助于呼吸系统疾病的初步分类诊断。	
各种穿刺液常规检查	通过积液检查提供良性或恶性疾患的确切信息。	
精子低渗肿胀试验	通过检测精子膜的完整性来评价精子的存活率	
精子凝集试验	异常结果：精子成小凝集块，对光观察可见小凝集块有如雪花纷飞状可诊断为精子凝集症。 需要检查的人群：精子凝集症的不育患者。	
精液卵磷脂测定	异常结果：卵磷脂小体的意义是既可作诊断慢性前列腺炎的参考指标，又可作为判断性功能状态的客观指标。前列腺充血、增生或发生炎症，就会使卵磷脂小体减少，随之精子也就会逐渐地减少了，精子的质量和活动度、性欲都会因此下降。。 需要检查人群：男性	
精子速度激光测定	反映精子的受精能力，是对精液常规分析的必要补充。	
精子爬高试验	反映精子的受精能力，是对精液常规分析的必要补充。	
精子顶体酶活性定量测定	反映精子的受精能力，是对精液常规分析的必要补充。	
精浆弹性硬蛋白酶定量测定	反映精子的受精能力，是对精液常规分析的必要补充。	
精浆弹性硬蛋白酶定量测定	反映精子的受精能力，是对精液常规分析的必要补充。	
精浆中性a-葡萄糖苷酶活性测定	可作为附塞的功能性指标。	
精液白细胞过氧化物酶染色检查	检查精浆有无感染	
精浆锌测定	"正常情况:(7.65-22.95) umol/L
增高：溶血性贫血，红细胞增多症，嗜酸性粒细胞增多症，甲状腺机能亢进，放疗后，原发性高血压。降低：肢端性皮炎，肝炎，肝硬化，肝癌及其他恶性肿瘤，恶性贫血，再生障碍性贫血，溃疡性结肠炎，克隆病。"	
精浆柠檬酸测定	异常结果：测定精浆柠檬酸含量可作为判断前列腺功能状态的参数。前列腺炎时，精浆柠檬酸含量显著减少。还可间接反映体内雄激素分泌状态。 需要检测的人：排尿不适，尿道、会阴和肛门处坠胀不适感等。	
精子膜表面抗体免疫珠试验	是检测是否存在精子膜表面抗体的一种检查方法，对于怀疑免疫性不孕症人群。	
精子膜凝集素受体定量检测	可用于精子膜特性的研究和某些雄性(或男性)不育的诊断·	
抗精子抗体混合凝集试验	检测女性不育和男性不育的指标	
夫妻协同抗体间接免疫珠试验	检测女性不育和男性不育的指标	
精子核蛋白组型转换半定量检测	看精子的活跃度，看病者有没有什么炎症，或者不孕不育	
精子形态学快速染色试验	用于高脂饮食对雄鼠及男性的血脂和精液质量的影响	
高活力精子提取检测	评估男性生育能力	
精液液化检测	了解精子的活力度以及存活率，排除不育症。	
抑制素B定量检测	用于评测体内激素水平、女性卵巢储备功能及男性生精功能等。	
精子、微生物动(静)态彩色图像检测	检测精子的活性程度	
精子、微生物动(静)态荧光图像检测	检测精子的活性程度	
胎儿纤维连接蛋白测定(fFV)	预测早产风险知乎(马中大乡新村	
血清酸性磷酸酶测定	增高：前列腺癌，特别是有转移时，血清酸性磷酸酶可明显增高。变形性骨髓炎、原发性骨肿瘤、甲状腺功能亢进、白血病、乳腺癌、心肌梗死、肝炎、肝硬化、胆囊炎、溶血性疾病、急性尿潴留时可增高。此外，前列腺活检。膀胱镜检查、直肠检查等也可使酸性磷酸酶活性增高。	
血清酒石酸抑制酸性磷酸酶测定	有助于了解生理条件和各种病理条件下的骨代谢状况。	
血清前列腺酸性磷酸酶质量测定	可用作前列腺癌的诊断，治疗效果及预后估价及转移性骨肿瘤鉴别诊断。	
淀粉酶测定	临床上测定血清和尿液AMY主要用于诊断急性胰腺炎	
血清淀粉酶同工酶电泳	"升高：常见于急慢性胰腺炎、胰腺癌、胆道疾病、胃穿孔、肠梗阻、腮腺炎、唾液腺炎等。
降低：常见于肝脏疾病(如肝疼、肝硬化等)."	
血清脂肪酶测定	"(1)升高：急慢性胰腺炎、胰液淤滞(胰腺癌、胰腺囊肿、胆管癌、胆石症、乳头癌等)，胃功能不全、胰腺损伤、穿孔性腹膜炎、胰腺导管阻塞(结石、鸦片、可待因，甲基胆碱)。
(2) 降低：胰腺癌晚期，胰大部切除等。"	
血清血管紧张转化酶测定	血清ACE测定主要用于肺部疾病的诊断，对其他系统疾病的诊疗也有一定价值。	
血清骨钙素测定	骨代谢(骨形成)指标。	
酷缩酶测定	"正常情况:(5-27)u/100ml
疽，恶性肿瘤。"	
肿瘤相关抗原测定		
癌胚抗原测定(CEA)	乳腺癌、甲状腺髓样癌等。但吸烟、妊娠期和心血管疾病、糖尿病、非特异性结肠炎等疾病，15%-53%勺病人血清CEA也会升高，所以CEA1不是恶性肿瘤的特异性标志，在诊断上只有辅助价值。此外，血清CEA水平与大肠癌的分期有明确关系，越晚期的病变，CEA浓度越高。	
甲胎蛋白测定(AFP)	"运用风险评估软件结合年龄，体重、身高、孕周、吸烟史、糖尿病史等资料评估出胎儿感病的危险度，筛查21-三体综合征、18-三体综合征、神经管酶形等
用于原发性肝癌的诊断，疗效预后监测；畸胎瘤及胎儿畸形诊断。病毒性肝炎、肝硬化患者AFP也会有不同程度的增高"	
碱性胎儿蛋白测定(BFP)	异常结果：恶性肿瘤患者血清中BFP有48%在100mg/ml以上。阳性率特别高的为肝癌、胰癌、胆囊及胆道癌，其次是乳腺癌和白血病、食道癌和何杰金病亦呈现异常高值。胃癌和结肠癌随病情发展而升高。治疗有效时BFP可下降至接近正常高值，再发时又可升高。 若BFP200ng/ml以上，又能排除肝细胞损害者，即为肝癌。良性疾病中特别是肝炎、肝硬化和再生障碍性贫血者，约有50%可有BFP呈异常值。 需要检查的人群：肝癌，胰癌，胆囊，胆道癌，乳腺癌，白血病，食道癌，何杰金病，胃癌，结肠癌的病人最好都做这个检测，以对阳性结果应结合临床加以综合分析。老人最好做定期检测，一般人也要检查，以防疾病。	
总前列腺特异性抗原测定(TPSA)	前列腺癌的特异性标志物，前列腺肥大、前列腺炎也可轻度升高。	
游离前列腺特异性抗原测定(FPSA)	前列腺癌的辅助标志物，可用于前列腺癌的鉴别诊断。FPSA/TPSA比值有助于区分BPH和前列腺癌	
